Frame,Angle (rad)
225.0,2.7877788791576856
226.0,2.6736636447797313
227.0,2.6782279335366987
228.0,2.6202087717983686
229.0,2.6552454821236515
230.0,2.636686684024843
231.0,2.6221833869938056
232.0,2.5381935673578457
233.0,2.625913418942009
234.0,2.6774755809245647
235.0,2.742938867348817
236.0,2.876430137849135
237.0,3.079598787365999
238.0,-3.026142344366994
239.0,-2.979772203933047
240.0,-2.8793278128717557
241.0,-2.7855426233955383
242.0,-2.6018927258336966
243.0,-2.554730063252635
244.0,-2.5256517798720113
245.0,-2.349545185952805
246.0,-2.2296869439749982
247.0,-2.1519635982637064
248.0,-2.0306010110049115
249.0,-2.018904398064517
250.0,-2.0273815650183935
251.0,-1.893156295841546
252.0,-1.7150696277681363
253.0,-1.6059974973308457
254.0,-1.5716739537817526
255.0,-1.595293255253957
256.0,-1.5694054901118983
257.0,-1.613839402083111
258.0,-1.6506363623627966
259.0,-1.7596552821259301
260.0,-1.75178375036937
261.0,-1.83428477557459
262.0,-1.7726040870993618
263.0,-1.795612346658078
264.0,-1.7487092360834373
265.0,-1.7270234704324707
266.0,-1.631565647405245
267.0,-1.641219097766071
268.0,-1.5560819324743635
269.0,-1.5311361939062609
270.0,-1.4738708495429342
271.0,-1.504143072593432
272.0,-1.3493626366055498
273.0,-1.3927942070983697
274.0,-1.493727471586964
275.0,-1.3848414314054556
276.0,-1.4570694609119685
277.0,-1.3013515243704412
278.0,-1.3559115890414573
279.0,-1.3193472222438023
280.0,-1.3335260391289936
281.0,-1.3435073275873273
282.0,-1.383336597653373
283.0,-1.4041060092120907
284.0,-1.3264887547791953
285.0,-1.3502006724772397
286.0,-1.4843839619900234
287.0,-1.5648070032682442
288.0,-1.6984422054110322
289.0,-1.806628539126263
290.0,-1.8667043501240188
291.0,-1.8380227130420832
292.0,-1.949589827097166
293.0,-2.003834737039928
294.0,-2.22216389848249
295.0,-2.3088154818086033
296.0,-2.584682814781082
297.0,-2.8142936276228037
298.0,-2.948079099347183
299.0,3.120825111906345
300.0,2.987770864855318
301.0,2.736662006197207
302.0,2.614661313015745
303.0,2.509612580866796
304.0,2.4772291031361284
305.0,2.38629416448802
306.0,2.326803243464587
307.0,2.3046526103931755
308.0,2.4267820133170828
309.0,2.4843300338324474
310.0,2.5704612783700207
311.0,2.603413974965501
312.0,2.5369039486725398
313.0,2.5866163090777246
314.0,2.5631884870011694
315.0,2.4951954542037664
316.0,2.5800416014483507
317.0,2.6883200658691817
318.0,2.7900528287923922
319.0,2.8078432383357
320.0,2.799197719403598
321.0,2.8836058093302253
322.0,2.9078528280295037
323.0,2.9623413935834844
324.0,3.04704580372513
325.0,3.0432605937505577
326.0,3.138813589245758
327.0,-3.0530655367292203
328.0,-3.028526898146551
329.0,-3.083036920087733
330.0,-3.1064361946742123
331.0,-2.97514015884561
332.0,-3.095389303660367
333.0,-3.084849791031186
334.0,-3.1363579038599863
335.0,3.109166032066799
336.0,3.0144366917421554
337.0,2.9817309597193695
338.0,2.8104057577705888
339.0,2.7718912110014915
340.0,2.695066834073173
341.0,2.7285099735779554
342.0,2.6368886320067864
343.0,2.650435975872564
344.0,2.7857242751055007
345.0,2.7954895716125563
346.0,2.8135917889117676
347.0,2.8595261933576954
348.0,2.959107610549872
349.0,3.027489683126598
350.0,-3.113088014547319
351.0,-3.056501183624837
352.0,-2.92166616057549
353.0,-2.8171498769232235
354.0,-2.7811313286043355
355.0,-2.6430740007816436
356.0,-2.603768908360683
357.0,-2.646599882336159
358.0,-2.5730118778775672
359.0,-2.622143366332682
360.0,-2.547953713011879
361.0,-2.5388870349647163
362.0,-2.5608138621981684
363.0,-2.568397405018739
364.0,-2.4701090427294226
365.0,-2.506078936509991
366.0,-2.525455585998324
367.0,-2.4967409712702135
368.0,-2.642488795339161
369.0,-2.766698134825207
370.0,-2.6030856007258
371.0,-2.4482458567014733
372.0,-2.3566151140243314
373.0,-2.311241994554537
374.0,-2.162752821413812
375.0,-2.2041127606707196
376.0,-2.124459731851312
377.0,-2.0074206000074772
378.0,-2.005808915000502
379.0,-1.7065259703254485
380.0,-1.6105472503288707
381.0,-1.4480481044189637
382.0,-1.381920368781045
383.0,-1.3383009002438502
384.0,-1.3481397076187058
385.0,-1.281812168975589
386.0,-1.2724267694771798
387.0,-1.1261954069653604
388.0,-1.0427111622386422
389.0,-0.9426140901202534
390.0,-0.894649113877436
391.0,-0.9172655729800854
392.0,-0.9258984363025918
393.0,-0.9486318421018086
394.0,-0.9147701976128675
395.0,-0.8687589577532696
396.0,-0.8780802865038047
397.0,-0.8462323089906763
398.0,-0.7717397217551383
399.0,-0.6919620636373134
400.0,-0.5055438587396173
401.0,-0.4804930984895681
402.0,-0.5233538317965829
403.0,-0.5919106901250428
404.0,-0.5243938924577272
405.0,-0.4788909128288932
406.0,-0.47381064042057197
407.0,-0.5119072945898124
408.0,-0.38969693929894134
409.0,-0.45797701389520973
410.0,-0.3738808241066758
411.0,-0.3729878576572765
412.0,-0.5056328340775531
413.0,-0.5383561638619079
414.0,-0.5046908519058131
415.0,-0.5792640984392957
416.0,-0.6084254472070562
417.0,-0.6111904083169699
418.0,-0.6337472817263166
419.0,-0.9255177997526834
420.0,-1.0633009617860043
421.0,-1.0833485823023468
422.0,-1.1616407428166884
423.0,-1.3717938984658278
424.0,-1.4885833985615347
425.0,-1.931696186775248
426.0,-2.1389148302171
427.0,-2.5114777410530125
428.0,-2.698908167934105
429.0,-3.0130358804423185
430.0,3.1281184736197485
431.0,3.099276107643858
432.0,3.088791084771592
433.0,2.9656145716651334
434.0,2.966365918643195
435.0,2.99044475221298
436.0,3.0684164773654365
437.0,3.0334361006555817
438.0,-2.9419946083189727
439.0,-2.6289479568888217
440.0,-2.486377659888349
441.0,-2.7355405838401246
442.0,-2.718876317401227
443.0,-2.6659162129589853
444.0,-2.661212547345582
445.0,-2.7532855419660014
446.0,-2.784878193368454
447.0,-2.831286875538166
448.0,-2.8041826202397164
449.0,-2.9144689776044315
450.0,-2.8363881150661308
451.0,-2.9907134178477124
452.0,-3.0079457746617244
453.0,-3.1027857231882434
454.0,3.0874515937748934
455.0,2.9489062953490466
456.0,2.753573123639452
457.0,2.6361297662776346
458.0,2.535279338727366
459.0,2.3500488125251406
460.0,2.3651531664394727
461.0,2.3121033575251406
462.0,2.345702636620773
463.0,2.4125830480757537
464.0,2.3623346545680506
465.0,2.2736433031783387
466.0,2.33796532854403
467.0,2.2654306418740298
468.0,2.222420114031777
469.0,2.1494820924641798
470.0,2.192873479351453
471.0,2.185669217253019
472.0,2.0852235288033603
473.0,2.1906739476848918
474.0,2.298130360309145
475.0,2.4057450686681796
476.0,2.4746522249026257
477.0,2.1475720927847215
478.0,2.1314297275561174
479.0,2.1087914728797132
480.0,1.9288639766871056
481.0,1.7600916632301342
482.0,1.695341248187245
483.0,1.6868698958016128
484.0,1.8034992997422983
485.0,1.7538137729283134
486.0,1.7645960980108766
487.0,1.704066066982296
488.0,1.7661856722190072
489.0,1.8265296769479882
490.0,1.8451235885950232
491.0,1.9972220886459844
492.0,1.9503541743054782
493.0,1.9091510536405747
494.0,1.9621646192756668
495.0,2.038756458328946
496.0,2.0574341966826704
497.0,1.915488238501374
498.0,1.8362714912103808
499.0,1.5345566071946886
500.0,1.4575755556525911
501.0,1.4600159228350338
502.0,1.2260033745343772
503.0,1.1751170845259453
504.0,0.8444291807829319
505.0,0.6758024212589333
506.0,0.6946244056093042
507.0,0.6519594003210981
508.0,0.6408066957662519
509.0,0.4471481856785038
510.0,0.5388304686430079
511.0,0.5272026439828981
512.0,0.49640014353218587
513.0,0.46454010672160373
514.0,0.502121369349136
515.0,0.5771611479977526
516.0,0.3778725966835914
517.0,0.3930883454465586
518.0,0.3817917312230352
519.0,0.21583157204588654
520.0,0.005874583536414679
521.0,-0.05264779111214324
522.0,-0.2730129875709726
523.0,-0.1663011702128454
524.0,-0.34974632778582326
525.0,-0.34271177057288016
526.0,-0.48536714540255943
527.0,-0.38730832619355327
528.0,-0.48965192244621303
529.0,-0.4547846707626131
530.0,-0.43934275134291223
531.0,-2.9275375674792143
532.0,-3.048974806816392
533.0,3.001152534172653
534.0,1.9940331554704758
535.0,0.21386726945141254
536.0,-0.1924602624763323
537.0,-2.038983880947072
538.0,-1.4058677463011544
539.0,-1.4058677463011544
540.0,-2.2941872802694325
541.0,-1.4058677463011544
542.0,-1.4058677463011544
543.0,-1.4058677463011544
